M,N,p,k,mu,f,speed,demand,facility,ti_c,model,ti_s,status,ObjValue,Gap
100,50,16,16,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_16.lp,50.1854,Optimal,41063,-3.5438e-16
100,50,17,17,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_17.lp,68.6669,Optimal,38998.2,0
100,50,18,18,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_18.lp,61.9842,Optimal,37038.1,-7.85782e-16
100,50,19,19,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_19.lp,63.2849,Optimal,35516.6,-4.09721e-16
100,50,20,20,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_20.lp,70.0408,Optimal,34344.4,0
100,50,21,21,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_21.lp,87.5231,Optimal,33328.5,-4.36621e-16
100,50,22,22,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_22.lp,100.235,Optimal,32488.5,-3.35932e-16
100,50,23,23,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_23.lp,218.613,Optimal,31733.6,-1.14641e-16
100,50,24,24,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_24.lp,85.6067,Optimal,31045.3,0
100,50,25,25,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_25.lp,112.424,Optimal,30400.9,0
100,60,5,5,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_5.lp,15.4957,Optimal,63528.9,-1.1453e-16
100,60,6,6,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_6.lp,37.7475,Optimal,99188.2,0
100,60,7,7,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_7.lp,22.0009,Optimal,96218.3,-1.51239e-16
100,60,8,8,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_8.lp,35.3724,Optimal,83742.3,0
100,60,9,9,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_9.lp,44.7483,Optimal,72248.7,0
100,60,10,10,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_10.lp,55.1907,Optimal,63188.9,-3.45438e-16
100,60,11,11,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_11.lp,72.5625,Optimal,56737.3,-1.28239e-16
100,60,12,12,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_12.lp,69.4351,Optimal,51490.6,-4.23919e-16
100,60,13,13,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_13.lp,66.0806,Optimal,47502.9,-3.06338e-16
100,60,14,14,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_14.lp,49.8683,Optimal,44290.1,0
100,60,15,15,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_15.lp,70.394,Optimal,41894.8,0
100,60,16,16,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_16.lp,76.9098,Optimal,39800.1,-3.65625e-16
100,60,17,17,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_17.lp,90.4213,Optimal,38018,0
100,60,18,18,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_18.lp,71.3699,Optimal,36504.5,0
100,60,19,19,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_19.lp,107.751,Optimal,35132.6,-4.142e-16
100,60,20,20,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_20.lp,141.447,Optimal,33925.6,0
100,60,21,21,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_21.lp,130.354,Optimal,32882.8,0
100,60,22,22,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_22.lp,164.521,Optimal,31965.1,0
100,60,23,23,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_23.lp,155.411,Optimal,31168.7,-2.33438e-16
100,60,24,24,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_24.lp,164.248,Optimal,30437.5,0
100,60,25,25,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_25.lp,175.095,Optimal,29783.1,-2.44298e-16
100,60,26,26,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_26.lp,556.241,Optimal,29249.7,0
100,60,27,27,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_27.lp,205.398,Optimal,28762.6,-5.05932e-16
100,60,28,28,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_28.lp,224.339,Optimal,28335,0
100,60,29,29,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_29.lp,233.877,Optimal,27936.2,-2.60449e-16
100,60,30,30,72,0.006,40,Goldberg_Test_100_60_demand.ins,Goldberg_Test_100_60_facility.ins,0,Goldberg-model_100_60_30.lp100,70,5,5,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_5.lp,11.1273,Optimal,19881.8,0
100,70,6,6,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_6.lp,32.6318,Optimal,92681.7,0
100,70,7,7,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_7.lp,37.5747,Optimal,106689,0
100,70,8,8,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_8.lp,63.5329,Optimal,97951.8,-2.97124e-16
100,70,9,9,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_9.lp,81.6976,Optimal,84815.4,0
100,70,10,10,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_10.lp,60.5021,Optimal,73475.8,-1.9805e-16
100,70,11,11,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_11.lp,119.189,Optimal,64992.1,0
100,70,12,12,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_12.lp,123.846,Optimal,58387.7,0
100,70,13,13,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_13.lp,234.274,Optimal,53300,9.1627e-05
100,70,14,14,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_14.lp,125.89,Optimal,48926.5,0
100,70,15,15,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_15.lp,95.6366,Optimal,45554.3,-1.5972e-16
100,70,16,16,72,0.006,40,Goldberg_Test_100_70_demand.ins,Goldberg_Test_100_70_facility.ins,0,Goldberg-model_100_70_16.lp,99.4677,Optimal,42820.1,0
